epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,2.886755054061477,0.34192439862542956,0.05272615602580334,0.07094028149927624
2,2.2150594414891422,0.41408934707903783,0.05237989410097695,0.06833548923588653
3,1.9684897790084015,0.49140893470790376,0.08116902228177034,0.09217995868155386
4,1.823133726377745,0.5352233676975945,0.09266846483045824,0.10908958711144687
5,1.698525915274749,0.5584192439862543,0.09794826142141998,0.1107586822207776
6,1.607509513159056,0.5567010309278351,0.09649923828473135,0.10895056237916698
7,1.53588021768106,0.5644329896907216,0.10323283149909593,0.11385198967056673
8,1.490316848497133,0.5713058419243986,0.1056801103440577,0.11623104704254436
9,1.4592722299936656,0.5764604810996563,0.10721733760589065,0.11830363030295747
10,1.4542379572584823,0.5764604810996563,0.10729626620840693,0.11844794593675356
