epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,3.240143824886802,0.10481099656357389,0.0250543979749987,0.036672706512066854
2,2.819497612138458,0.2860824742268041,0.047772555804781,0.05056063860332819
3,2.467414519644731,0.39690721649484534,0.07811848889683334,0.07953602278632772
4,2.173168466580625,0.45446735395189003,0.09183124784417776,0.09356314005474484
5,1.9374345154162274,0.49140893470790376,0.10045760231311114,0.10335183794232732
6,1.7815224350682948,0.5189003436426117,0.10869507763482625,0.1116938103606642
7,1.6609905310813955,0.5446735395189003,0.11514438695707904,0.11880492547257486
8,1.6034081061154801,0.5627147766323024,0.11950666262825971,0.1234962271757379
9,1.5731504358203205,0.5695876288659794,0.12292867115226265,0.12667445102002012
10,1.5437003674096619,0.5738831615120275,0.12387469888639824,0.1277311754129403
