epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,3.4876410979438264,0.32136940916620654,0.2989765566177711,0.3338747975610275
2,2.2261209316473107,0.4202098288238542,0.4116916453413744,0.4363478603153922
3,1.8127907316842449,0.47736057426836004,0.46500342081803475,0.4887950488000883
4,1.6257347188539952,0.4870237437879624,0.4821548709199583,0.4985044705086254
5,1.5094314100415458,0.5013804527885146,0.4930993267309811,0.5110272841771037
6,1.4370485874516166,0.5140806184428492,0.5034401061123381,0.523148024083967
7,1.3866750584809915,0.5242959690778576,0.5157850200704703,0.5357440878255412
8,1.353854387741418,0.5240198785201546,0.517446074741276,0.5365665229476885
9,1.3327638921207343,0.5281612368856985,0.5203718645326973,0.5404748957028984
10,1.3245796613245202,0.5278851463279955,0.5202955962323704,0.539700598416629
