split_seed,method,budget,n,test_macro_f1_mean,test_macro_f1_sd,test_macro_f1_ci_low,test_macro_f1_ci_high,test_accuracy_mean,test_accuracy_sd,test_accuracy_ci_low,test_accuracy_ci_high,test_balanced_accuracy_mean,test_balanced_accuracy_sd,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high
123.0,full_finetune,010,3,0.284526176099982,0.005547785619352307,0.2796035748847835,0.29053767715761036,0.3111432706222865,0.00783082446221052,0.30303907380607814,0.3186685962373372,0.31648780324840825,0.006803484543127126,0.3086334028878358,0.3205517446457789
123.0,full_finetune,100,3,0.69754746240103,0.0034630642670160946,0.6943426008839627,0.7012209945838787,0.7134587554269175,0.0035092201600527458,0.7096960926193921,0.7166425470332851,0.712482452328274,0.004844229497282212,0.707938234878577,0.7175792955981267
123.0,linear_probe,010,3,0.15659596610016452,0.01829792745838644,0.14437178513221907,0.1776325732938858,0.17346840328027013,0.019164775269618035,0.1597684515195369,0.19536903039073805,0.18365638871089862,0.01580701186039293,0.17360035249542075,0.20187602255285872
123.0,linear_probe,100,3,0.4323986278379812,0.007423698270508769,0.4242911620947119,0.43886338651367546,0.4438012542209358,0.00842020512249249,0.4350217076700434,0.451808972503618,0.44388701393114954,0.008220805993441965,0.4352035784569099,0.4515498929795201
123.0,marine_adapter,010,3,0.23955813920349608,0.0027100961735372657,0.23662009498884487,0.2419601904713452,0.2635793535938254,0.003188173978168513,0.26049204052098407,0.26685962373371924,0.26890042830589106,0.0049894860087713955,0.264282951679861,0.2741931493329604
123.0,marine_adapter,100,3,0.5353675801413437,0.004797624826979987,0.5298288504234528,0.5382321228053165,0.5512783405692233,0.003777476497916431,0.5470332850940666,0.5542691751085383,0.5500111696358895,0.0030208347781264197,0.5466607328972523,0.5525268479995151
456.0,full_finetune,010,3,0.26366715375492183,0.010930008224237975,0.25490542217142226,0.27591498367052136,0.29197882329437624,0.008477723461280087,0.28708420737189094,0.30176805513934674,0.3006416180818322,0.008931046873437565,0.2949203856965158,0.3109328616538201
456.0,full_finetune,100,3,0.6910704385100991,0.010994604056936244,0.6812497846071729,0.7029483608902596,0.7012286484866647,0.009173046368003559,0.6925382079712317,0.7108181000899011,0.6974147664465646,0.0093721703771616,0.6890670407505132,0.7075530391024554
456.0,linear_probe,010,3,0.14595185536368396,0.007746902116032174,0.13761941370835468,0.15293628563012063,0.16471880930975927,0.012407704108834478,0.1507341923883728,0.17440815103386276,0.17802018808071976,0.0067094926018324,0.1712995927070272,0.18471852251711962
456.0,linear_probe,100,3,0.42802486492323827,0.010655449744174365,0.41575879710014013,0.43499234138523163,0.43831785036459897,0.010052738487990525,0.42673059634402155,0.4447108181000899,0.44417772174983067,0.008441822791769645,0.43443928491672085,0.4494164101696178
456.0,marine_adapter,010,3,0.22902911606286488,0.01135332932266211,0.22137361202347616,0.24207332239731585,0.2573169513535111,0.010987459239989632,0.2508240934971531,0.270002996703626,0.2682500423892287,0.010919916032920527,0.2599186928517293,0.28061242548077736
456.0,marine_adapter,100,3,0.5315092253165926,0.0027663816024824594,0.5283182128721869,0.5332310123975569,0.54210368594546,0.002560384700424739,0.5397063230446509,0.5448007192088702,0.5442563373777297,0.0031874187365341974,0.5406319240500749,0.5466229439195761
789.0,full_finetune,010,3,0.2572261823681447,0.011915148589016692,0.24984335432616453,0.2709720060423795,0.2793196897486216,0.011020669461026492,0.27109615923745445,0.29184188393608074,0.299441865562972,0.011199451599064492,0.2915709946559854,0.31226351277930053
789.0,full_finetune,100,3,0.6719975777771924,0.005701599786623519,0.6679842906350318,0.6785239984293631,0.6810578450612091,0.004743870721052981,0.6770395290159797,0.6862910008410429,0.6882582372397534,0.006094151906034655,0.6832776330176801,0.6950536379142523
789.0,linear_probe,010,3,0.15306784584063546,0.004364264237271342,0.1481551463621216,0.15649673874504388,0.17063825810671898,0.001969097047538114,0.16876927389963556,0.17269414073451075,0.18326489580402683,0.005887246245025879,0.17677896501833915,0.18827115207815567
789.0,linear_probe,100,3,0.4187193248910878,0.002677174174862937,0.41577247291198577,0.42100164464529505,0.43117465657415194,0.0032331266034961513,0.42753013737033924,0.43369778525371466,0.44759641413580953,0.002945561846280806,0.4442528749494168,0.4498084557642413
789.0,marine_adapter,010,3,0.23109839366738663,0.01547882749814677,0.2136700458193829,0.24324529525086327,0.2597888047845996,0.011815690959025144,0.24642556770395294,0.26885337818895433,0.274872977296267,0.013731129289789978,0.25920833672832355,0.2848285470900194
789.0,marine_adapter,100,3,0.5134854011311228,0.003392862301580172,0.5095936155852676,0.5158211894622298,0.5255583590318662,0.0021227580023550118,0.5231286795626577,0.527053546397533,0.5365074385590671,0.0031314255701923106,0.5329507941378197,0.5388501511020505
