status,run_id,dataset,backbone,method,budget,seed,epochs,best_epoch,adapter_dim,dropout,n_classes,n_train,n_full_train,realized_train_fraction,n_val,n_test,total_params,trainable_params,val_accuracy,val_macro_f1,val_balanced_accuracy,test_accuracy,test_macro_f1,test_balanced_accuracy,runtime_sec,peak_gpu_mem_gb,stage,_path,width_ablation,shot_k,split_seed
complete,aqua20__scratch_cnn__scratch_cnn__b005__s45,aqua20,scratch_cnn,scratch_cnn,005,45,10,10,128,0.1,20,302,5842,0.05169462512838069,1164,1165,394036,394036,0.35652920962199314,0.07871025907799271,0.07947544908376478,0.37939914163090127,0.09100763669318948,0.09448967331478661,20.74485182762146,2.5107860565185547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b005__s45/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b005__s43,fathomnet,scratch_cnn,scratch_cnn,005,43,10,8,128,0.1,79,875,16688,0.05243288590604027,3622,3389,409199,409199,0.08475980121479845,0.057521219795825876,0.10139899951284734,0.10298023015638831,0.06659860629099004,0.10086514232384754,40.00184679031372,2.5110254287719727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b005__s43/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b005__s44,fathomnet,scratch_cnn,scratch_cnn,005,44,10,10,128,0.1,79,875,16688,0.05243288590604027,3622,3389,409199,409199,0.1007730535615682,0.06262082603151535,0.10794587817982954,0.11006196518146946,0.06998973436190471,0.10466298386886536,118.62822365760803,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b005__s44/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b100__s46,aqua20,scratch_cnn,scratch_cnn,100,46,10,10,128,0.1,20,5842,5842,1.0,1164,1165,394036,394036,0.48109965635738833,0.13401589702094757,0.1374534634039527,0.4978540772532189,0.15139062683261817,0.15536865265446992,147.81649470329285,2.5113964080810547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b100__s46/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b010__s46,aqua20,scratch_cnn,scratch_cnn,010,46,10,10,128,0.1,20,592,5842,0.10133515919205752,1164,1165,394036,394036,0.3900343642611684,0.07764933271795008,0.08459455240618506,0.39742489270386266,0.08058708804390324,0.08826008850366776,47.652053117752075,2.5113964080810547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b010__s46/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b010__s43,fathomnet,scratch_cnn,scratch_cnn,010,43,10,10,128,0.1,79,1709,16688,0.10240891658676894,3622,3389,409199,409199,0.11430149088901159,0.07828600717304844,0.12728523407858314,0.14429035113602834,0.10082602537233519,0.1393510869914435,140.24176812171936,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b010__s43/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b005__s43,aqua20,scratch_cnn,scratch_cnn,005,43,10,10,128,0.1,20,302,5842,0.05169462512838069,1164,1165,394036,394036,0.3281786941580756,0.05631557979253683,0.07578322262966705,0.3484978540772532,0.06784989620637125,0.08521588260628157,38.71313142776489,2.5113964080810547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b005__s43/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b001__s46,fathomnet,scratch_cnn,scratch_cnn,001,46,10,10,128,0.1,79,220,16688,0.013183125599232981,3622,3389,409199,409199,0.02484815019326339,0.011566992599337677,0.028838891003736888,0.028031867807612864,0.011167735868535398,0.026994014890240618,36.29054546356201,2.5110254287719727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b001__s46/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b100__s44,aqua20,scratch_cnn,scratch_cnn,100,44,10,9,128,0.1,20,5842,5842,1.0,1164,1165,394036,394036,0.4725085910652921,0.14468255717625705,0.15382965326509757,0.4858369098712446,0.15020927097526138,0.16168418920715733,203.54985666275024,2.5113964080810547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b100__s44/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b001__s44,aqua20,scratch_cnn,scratch_cnn,001,44,10,5,128,0.1,20,70,5842,0.011982197877439232,1164,1165,394036,394036,0.010309278350515464,0.013485814273215846,0.05859649122807018,0.010300429184549357,0.009356084194793873,0.052142857142857144,16.723362684249878,1.3857841491699219,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b001__s44/result.json,,,
