epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc
1,2.90403517554788,0.0,2.9771478053062195,0.07096774193548387,0.03815926370535213,0.05392156862744469
2,2.587058095371022,0.17647058823529413,2.9860368728637696,0.07741935503098273,0.051113208206459745,0.11274509803915056
3,2.700026273727417,0.17647058823529413,3.007478032573577,0.09677419374066014,0.06980554758679462,0.12450980392150272
4,2.5335927570567414,0.17647058823529413,3.0064394981630387,0.10322580664388595,0.07723516855796644,0.12843137254895345
5,2.5415901576771454,0.23529411764705882,2.9873487211042833,0.10967741954711176,0.08502300351963814,0.13235294117640417
6,2.4016951953663543,0.17647058823529413,2.958936108312299,0.11612903264261061,0.1248817464422256,0.19117647058811005
7,2.340652353623334,0.17647058823529413,2.987533130953389,0.10322580664388595,0.07310146280717134,0.11764705882346667
8,2.320782324847053,0.4117647058823529,2.9843574339343655,0.10322580683615899,0.08721333186162816,0.12843137254895345
9,2.259467237135943,0.35294117647058826,2.987311229398174,0.08387096812648158,0.07701689826240221,0.16078431372536967
10,2.36383794335758,0.23529411764705882,2.99464384817308,0.09032258102970739,0.08973049146869737,0.16470588235282038
