epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.077064514160156,0.013745704467353952,0.01569446458843887,0.022986953745018947
2,4.167313098907471,0.07130584192439862,0.03207368479883819,0.04297564438066939
3,3.1148366928100586,0.28350515463917525,0.06273467956941442,0.06885618960455148
4,2.554485321044922,0.41237113402061853,0.07829645027845519,0.085582625131473
5,2.1538896560668945,0.47594501718213056,0.09807856984197239,0.10130078291095382
6,1.9517229795455933,0.5189003436426117,0.11104336247507415,0.11371815737452831
7,1.7679238319396973,0.5335051546391752,0.11694023795310535,0.11968738117837388
8,1.585139274597168,0.5506872852233677,0.12999963416961133,0.13062788741940995
9,1.516786813735962,0.5575601374570447,0.1329416880908926,0.13407722268743472
10,1.5044636726379395,0.5601374570446735,0.13516051043639432,0.13570897980157837
