epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.547665101831609,0.029265599116510214,0.010440857927935181,0.019411781891624832
2,4.41136360168457,0.03285477636664826,0.0136764739065572,0.02381052726233506
3,4.3030273697593,0.0353395913859746,0.018231967365053864,0.027590418328248826
4,4.201970837332985,0.03699613473219216,0.021007775351963284,0.030519253675993473
5,4.125532575087114,0.03865267807840972,0.022472466960834946,0.032797483203715026
6,4.057546112754128,0.04168967421314191,0.025648214415312273,0.035753981990669884
7,4.021724050695246,0.04279403644395362,0.027200334079479006,0.03739777530694086
8,3.9986505421725185,0.04362230811706239,0.02798936175137148,0.03800033872112756
9,3.9858930934559216,0.04417448923246825,0.028774290333033106,0.03893926149549338
10,3.961958412690596,0.0447266703478741,0.029283777097534578,0.039473167092690116
