epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,3.9008021585550425,0.25538376587520706,0.23623981152852114,0.27453898900591694
2,3.109747377132295,0.3522915516289343,0.33381873218062086,0.3649539464344162
3,2.6828677176514844,0.3754831584759801,0.3638952448565288,0.38770142786085526
4,2.4344819602435983,0.4003313086692435,0.389893644041327,0.41465398150746713
5,2.2775552679685482,0.4094422970734401,0.3970062227384101,0.4209200577244062
6,2.179443114327333,0.4196576477084484,0.4134485355161884,0.4344639327017158
7,2.113256602365013,0.42655991165102153,0.41771553979478093,0.43851749885035246
8,2.0742103380301997,0.4268360022087245,0.4187906561077449,0.4394166344717589
9,2.0513910456334643,0.4315295416896742,0.4238018779677911,0.44378380450183963
10,2.0419186752571696,0.4312534511319713,0.4234617423485314,0.4435429155683264
