epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,2.995398523002271,0.46134020618556704,0.10954456492672895,0.10681034072164838
2,2.131974978162753,0.5695876288659794,0.11747223424454807,0.12172996912892478
3,1.6551998711579683,0.6176975945017182,0.1295471219980801,0.1363343157183413
4,1.4393840120328183,0.6383161512027491,0.14212708873706523,0.15016846464371011
5,1.2929976578579834,0.6597938144329897,0.15988551450633195,0.16574530396059856
6,1.1618282463376886,0.679553264604811,0.17754742399898873,0.18235244481804497
7,1.0923763031991112,0.6941580756013745,0.19100342420530134,0.19434940636743617
8,1.0535064090956126,0.6967353951890034,0.19270023688172092,0.19738250432575627
9,1.01733680671414,0.6984536082474226,0.1951325215554583,0.19906868046845416
10,1.0087999831761745,0.7018900343642611,0.19884572688988902,0.20252116095897815
