epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc
1,1.7438837694212266,0.4591280663695582,1.4767865073296331,0.6000000001922731,0.39079250303778884,0.4142156862744665
2,1.026934338038234,0.6662125343847665,1.440531615288027,0.5870967745780945,0.39957204798073015,0.41029411764701385
3,0.7337826438430869,0.7656675757439325,1.335097768229823,0.6193548392864966,0.4467945384973345,0.45196078431366543
4,0.5357337353664783,0.8133514994496546,1.4290069895405924,0.6258064519974493,0.4131864725403819,0.4235294117646613
5,0.4103767564088837,0.8692098092643051,1.2825110074012511,0.677419355800075,0.5091239632032135,0.546078431372426
6,0.3184570527815689,0.9005449591280654,1.1076851806332988,0.741935484832333,0.5462624228503373,0.5593137254901138
7,0.1912922042064186,0.9564032697547684,1.112793844169186,0.7290322592181544,0.5829116463042892,0.6132352941175055
8,0.16854104038317783,0.9455040878431024,1.033970878681829,0.7290322592181544,0.5840455485276855,0.6132352941175055
9,0.16122752890924666,0.9523160775935617,1.0692521770154275,0.7354838721213802,0.5869901948865826,0.6171568627449562
10,0.12164160820378919,0.9659400551455547,1.0573999446245932,0.7225806461226556,0.5418201802734486,0.5544117647057997
