epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc
1,2.981876109775744,0.07894736881318845,2.718524226834697,0.10322580664388595,0.08091490808475843,0.07696078431371724
2,2.6721010333613346,0.03947368460266214,2.544439478843443,0.13548387096774195,0.07731233487355683,0.08578431372548405
3,2.3780975341796875,0.27631578947368424,2.4128973468657464,0.17419354838709677,0.09137814930898258,0.1058823529411694
4,2.235608973001179,0.35526315789473684,2.3253065524562713,0.21935483870967742,0.11455557877064508,0.13333333333332445
5,2.136759720350567,0.3552631586790085,2.26551316015182,0.25161290322580643,0.13569879603112345,0.15294117647057806
6,2.067356674294723,0.4342105263157895,2.225343298142956,0.2903225806451613,0.15576838113348557,0.17647058823528236
7,1.9870835730904026,0.4473684210526316,2.1946175283001317,0.33548387096774196,0.19480146230778825,0.20735294117645633
8,2.0043819703553853,0.42105263157894735,2.176397451277702,0.33548387096774196,0.18738759602941657,0.20392156862743738
9,1.9759918953243054,0.4605263220636468,2.167871170659219,0.3032258064516129,0.1687465429703802,0.1843137254901838
10,1.9522875045475208,0.48684211153733103,2.174492620652722,0.3032258064516129,0.16383242967826595,0.1843137254901838
