epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.258845485254224,0.02015461071231364,0.007989897279613255,0.024111418274941638
2,3.9705411263416215,0.051076753175041414,0.02901211942586314,0.06493723514076116
3,3.8235828272427224,0.08337934842628382,0.05922408409469269,0.10004677438246518
4,3.715159816446187,0.11098840419657648,0.06404094023278852,0.11800527229101745
5,3.650564408427864,0.10988404196576478,0.07226697676290554,0.1243007235644467
6,3.583963372820368,0.11292103810049696,0.07324888509792075,0.12688476819465935
7,3.538746861005262,0.11485367200441744,0.07559308402089383,0.12867800548556976
8,3.5200709580956597,0.12230811706239647,0.08084974163924707,0.13308175672133177
9,3.4873732576041,0.12203202650469354,0.08089305061784016,0.13203844177886445
10,3.4834946539752174,0.1206515737161789,0.08103840542288818,0.13134881159005982
