epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,3.0887835025787354,0.05240549828178694,0.018901045399335285,0.034271077047717466
2,2.8982839584350586,0.1134020618556701,0.036396010695582355,0.052026049869132576
3,2.5963587760925293,0.19845360824742267,0.05135517804634572,0.06903367222264142
4,2.3775250911712646,0.2809278350515464,0.06255988111732573,0.06572449164074097
5,2.2156529426574707,0.3384879725085911,0.07269904322423848,0.076308956271533
6,2.0567870140075684,0.3754295532646048,0.08279266513292882,0.08570852137646669
7,1.9523088932037354,0.3951890034364261,0.08694505111579437,0.09070033626115617
8,1.8909109830856323,0.4054982817869416,0.08253677832675324,0.0890119811962229
9,1.8272600173950195,0.40463917525773196,0.0789363651699178,0.08712886297002946
10,1.8444056510925293,0.4106529209621993,0.08022637399848638,0.08847126860702018
