epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,3.5575170295917435,0.49140893470790376,0.06270747572002802,0.08462366516719719
2,2.974722908032651,0.37285223367697595,0.08770601578856944,0.09457705242264396
3,1.7656489618566653,0.615979381443299,0.16281817892951578,0.18112406908536544
4,1.260067608972259,0.6606529209621993,0.2323053389755952,0.24144671141908355
5,0.866540130005767,0.6915807560137457,0.26150222141695184,0.2513755190067995
6,0.6377047892437865,0.7044673539518901,0.30416252167430347,0.2933735125789558
7,0.5042764260279422,0.718213058419244,0.329079562400314,0.33173070238922403
8,0.40740336566571367,0.7362542955326461,0.34620045341156913,0.34775251365002763
9,0.37123391012482293,0.7396907216494846,0.34786599379646127,0.3468816119811291
10,0.3356832658612965,0.7405498281786942,0.34526569492566106,0.3416485200821003
