epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,2.178804548624973,0.46735395189003437,0.07994331737488766,0.09011425075743439
2,1.6019213033514208,0.5816151202749141,0.1165586661493567,0.1250316157048374
3,1.3169261794186584,0.6374570446735395,0.214542277418282,0.19098128729176603
4,1.1427654408706618,0.6692439862542955,0.27050385005372307,0.23943008204928723
5,1.0349641479232956,0.6958762886597938,0.31607241312236767,0.2787413882583954
6,0.9647989647921451,0.7096219931271478,0.34034773395200313,0.30306307963020573
7,0.9179828938495945,0.7139175257731959,0.35900205017171255,0.3178755505757626
8,0.8933017157357427,0.7250859106529209,0.3873238240542238,0.3442170531847092
9,0.8811246671116707,0.7250859106529209,0.38738456317332615,0.3438441247258581
10,0.8724527261062095,0.7242268041237113,0.38626179960305446,0.3437175424473771
