epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,3.200874081622606,0.40916620651573715,0.3942977500325445,0.4339767357136228
2,1.6235443985702207,0.5505245720596356,0.554108744823036,0.5710403975294027
3,1.080943989502275,0.6195472114853672,0.6206269458533349,0.6340593018378542
4,0.8273215823639845,0.6479845389287686,0.6502102135161505,0.6646387868655419
5,0.6735464275626185,0.6664826062948647,0.6681827073991177,0.6812027787616488
6,0.581052745862981,0.6827719491993374,0.6844625898485894,0.6972501924402557
7,0.5150334615035345,0.6866372170071784,0.6883348144702919,0.7004789457500381
8,0.47150020085610916,0.6918829376035339,0.6914505102437782,0.7035257348021288
9,0.4472178615065343,0.6877415792379901,0.6879709298445444,0.6999136974959522
10,0.43710655654036756,0.6902263942573164,0.6902835821663459,0.7020176210985491
