epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.997022930276349,0.852233676975945,0.6941404685705355,0.6827689921131466
2,0.3429471669040776,0.8831615120274914,0.8290696360979751,0.8023747823298966
3,0.26409263716540654,0.8908934707903781,0.8118724479908705,0.8109817746855917
4,0.23500972191934838,0.8917525773195877,0.8499900101619156,0.8389525533979423
5,0.19944181870981587,0.897766323024055,0.8381678651060582,0.8290176309071388
6,0.17152614984374387,0.9072164948453608,0.8727336931727742,0.8726831414624705
7,0.15977988031701412,0.9012027491408935,0.8532973517034703,0.8413056878582023
8,0.1473023369219645,0.9063573883161512,0.8781874019976904,0.8738333417766617
9,0.1378294125592125,0.9003436426116839,0.8633848597616893,0.8542393444686092
10,0.13740835613285748,0.9037800687285223,0.8691800074802043,0.864934351057328
