epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.5027615752401235,0.03202650469353948,0.01781420694575742,0.03273608393609509
2,4.090179978141302,0.060739922694643844,0.03925662806971994,0.06212116325966895
3,3.836340488964998,0.09276642738818332,0.06504277622238841,0.0910476657510171
4,3.61683581690245,0.11374930977360574,0.08598295240096698,0.11058453200803196
5,3.4508659290362007,0.14743235781336278,0.11670333443263588,0.142236243315933
6,3.310495571546917,0.17228050800662617,0.1427642519799585,0.16694134115314402
7,3.2058372769174697,0.1860850358917725,0.15567737882863117,0.18073592421248363
8,3.1426498232008537,0.19464384318056321,0.16366759841536796,0.18924338176888392
9,3.1009679106217396,0.20016565433462175,0.16751822547120107,0.19349301705376068
10,3.087081561511076,0.19685256764218664,0.16523098302603184,0.19041532829148383
