epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.560287288472622,0.011871893981225842,0.004205631431370298,0.01567954311209883
2,4.282634463491319,0.014080618442849255,0.008471484907564993,0.017615612810802594
3,4.018369300455987,0.015184980673660961,0.01095962618516581,0.018508507387702978
4,3.8825158167488967,0.01932633903920486,0.012745960579859102,0.023428377868377162
5,3.752422869959964,0.02236333517393705,0.01687851236418712,0.026773793720691386
6,3.645458369315425,0.026228602981778024,0.019964060917463295,0.030780671150031084
7,3.542820411392405,0.027332965212589728,0.020593883450348835,0.03106693355813217
8,3.465115686006184,0.027609055770292656,0.02139112777106696,0.030606406555597432
9,3.465696715101411,0.02816123688569851,0.021945586037716684,0.03062371647707192
10,3.4842884510378296,0.030369961347321922,0.023163799716929633,0.03220768507268341
