dataset,budget,n,test_macro_f1_mean,test_macro_f1_sd,test_macro_f1_ci_low,test_macro_f1_ci_high,test_accuracy_mean,test_accuracy_sd,test_accuracy_ci_low,test_accuracy_ci_high,test_balanced_accuracy_mean,test_balanced_accuracy_sd,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high
aqua20,001,5,0.030532001639493305,0.01322761927240667,0.019816897298039256,0.0394921654101587,0.1426609442060086,0.11148955712023369,0.057682403433476394,0.22987124463519315,0.06606367734407655,0.015384786206336768,0.05432139388490277,0.07780596080325031
aqua20,005,5,0.07777068499517843,0.00950887143567769,0.0706413257252222,0.08466720725742194,0.3411158798283262,0.03076747374038776,0.31553648068669526,0.3636051502145923,0.08998013454215334,0.009097429747034966,0.08195668765682879,0.09646302331140008
aqua20,010,5,0.09642852627842546,0.013174999108382721,0.0863799885391056,0.10647706401774534,0.39570815450643776,0.01184735943505773,0.3872961373390559,0.40480686695278967,0.10264963872618467,0.009575990956744527,0.09498642505565694,0.10963882631678692
aqua20,100,5,0.15241849990658843,0.004595769849363404,0.15001249761145058,0.1565635700436167,0.48429184549356225,0.009292613632772099,0.47776824034334764,0.4916738197424893,0.15953169904850864,0.00514694098121692,0.15600321976663362,0.16405908290272453
fathomnet,001,5,0.013256945092873663,0.004797773771086585,0.009955438285189846,0.017433809828359847,0.02508114488049572,0.008854627375700004,0.01847152552375332,0.031572735320153436,0.025821591131572213,0.008006967755699987,0.01952365434236608,0.032119527920778344
fathomnet,005,5,0.07038302230327814,0.0038969244825071392,0.06772604246653768,0.0738325277847366,0.10705222779580996,0.0061201720923376585,0.10262614340513425,0.11236352906462081,0.1058216022494937,0.006185916793983311,0.10211945024597262,0.11135691177703681
fathomnet,010,5,0.09647689437152553,0.006866117232855743,0.09041484569984545,0.10075278708735773,0.14092652699911476,0.005628073733839365,0.13620537031572735,0.14476246680436708,0.13514249796331868,0.006404929338216103,0.12965568425985377,0.13906444558758982
fathomnet,100,5,0.21898486344543516,0.006853913616957254,0.21312839495956865,0.2233338563433996,0.25889642962525816,0.0075707753376244675,0.25252286810268515,0.264207730894069,0.24989083405095833,0.007259233638406473,0.24343728038203505,0.2546924091952217
