contrast,n_conditions,mean_delta,median_delta,ci_low,ci_high,wins,ties,losses,p_exact_signflip,p_holm
Adapter - Linear,16,0.05260770962406993,0.031214824136717063,0.031244945925649897,0.08038422913896723,16,0,0,3.0517578125e-05,0.000152587890625
Adapter - MLP,16,-0.03973016447722947,-0.032295176132432366,-0.060139504882546525,-0.02271002222666469,1,0,15,9.1552734375e-05,0.000274658203125
LastBlock - Adapter,16,0.08038930343521006,0.05673362033057383,0.0437807176948159,0.12457243468512307,15,0,1,0.0001220703125,0.000274658203125
FullFT - Adapter,16,0.09221638235669628,0.07458387921738141,0.05463509071234269,0.13107965746734312,15,0,1,6.103515625e-05,0.000244140625
FullFT - LastBlock,16,0.011827078921486206,0.011878170091630565,-0.019442776124686652,0.041594470630583844,10,0,6,0.471038818359375,0.471038818359375
