epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,3.384453780563415,0.36451710566151985,0.3337026132350775,0.36315821634924905
2,2.121275263168716,0.4604904632152589,0.44466902507625017,0.4612966413943913
3,1.751808200420958,0.5071147441719649,0.493278972639529,0.5022803051761161
4,1.5660670312093694,0.5219497426581895,0.5092449920383078,0.5198225989794666
5,1.4638301010192634,0.5331516802906449,0.5204510300621742,0.5296177064044265
6,1.377202681565987,0.5349682107175295,0.5274962986544178,0.5329564540663126
7,1.3255288557364255,0.5449591280653951,0.5319643687858772,0.5420994902761613
8,1.2954934603010677,0.5473811686345746,0.5367625813896865,0.5445372001446553
9,1.271206631879163,0.5452618831365426,0.5352774492543902,0.5420463825876436
10,1.264373973721801,0.5479866787768695,0.5375727841438026,0.5453588097078895
