epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,3.3241249678150706,0.06958762886597938,0.01744616962138005,0.05028434530747143
2,2.693042493024409,0.29553264604810997,0.05745881716133737,0.08101648378193155
3,2.223859173572616,0.41323024054982815,0.09841708954002291,0.10305515547559996
4,1.8831229280951798,0.47680412371134023,0.08465533859724,0.09817536704693888
5,1.6772234581953642,0.5180412371134021,0.09071946662636135,0.10442814873493209
6,1.5222386255959013,0.5378006872852233,0.09463899020722481,0.10826133441611577
7,1.4209596834435367,0.5472508591065293,0.09627941949801525,0.11003078690745141
8,1.380585727312707,0.5549828178694158,0.0981936690509731,0.11279513105713505
9,1.358723619126326,0.552405498281787,0.09775970171790971,0.11241538422169202
10,1.3474755674008503,0.5481099656357389,0.0986085630217182,0.11278095844624517
