epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.945973233904158,0.043898398674765325,0.029044968108763725,0.05756739613310027
2,3.9386121638161797,0.14080618442849255,0.1160776478197229,0.13274712336088487
3,3.082493587766375,0.20955273329652127,0.18467781672225145,0.21752053744454597
4,2.1812156453813825,0.31722805080066263,0.29265029907348594,0.31574737225577865
5,1.4533745301110403,0.3771397018221977,0.3654805628291715,0.3795699688512501
6,0.97527278477805,0.40778575372722253,0.39817335693944134,0.421215267523643
7,0.6262205957685198,0.42876863611264493,0.4273340375292496,0.4421429690454532
8,0.4450758616924286,0.4428492545554942,0.43951275595402955,0.4564474142383293
9,0.3594439605644771,0.44781888459414687,0.44547885649463315,0.4604566106832301
10,0.31774701237678526,0.44450579790171174,0.44285701868879274,0.45748589423723757
