epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.077064514160156,0.013745704467353952,0.01569446458843887,0.022986953745018947
2,4.167313098907471,0.020618556701030927,0.018417051985684375,0.025254212170308966
3,3.876241683959961,0.028350515463917526,0.021604879719910743,0.035401064160050004
4,3.7710938453674316,0.03178694158075601,0.022960943858060155,0.036219407327801566
5,3.5474748611450195,0.03350515463917526,0.024201641805036145,0.03770536836335955
6,3.516824722290039,0.036941580756013746,0.025042698504135447,0.03866802716490721
7,3.411090850830078,0.03865979381443299,0.025658274043687125,0.03912140682900914
8,3.2929129600524902,0.03951890034364261,0.026043074972598185,0.03944820421463005
9,3.287144184112549,0.0429553264604811,0.028749456815114233,0.04235035949092589
10,3.2765555381774902,0.0429553264604811,0.02874124840354448,0.04235035949092589
