epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.423774569565941,0.06959378733572281,0.05702076333733254,0.07121557276218908
2,3.8956274619041276,0.13201911589008364,0.11613824223897491,0.14468970658888036
3,3.4953675973930047,0.2037037037037037,0.17985279729549727,0.21306188438796525
4,3.17434133392788,0.2434289127837515,0.21016779877105302,0.2492913394449331
5,2.915348585455949,0.272700119474313,0.23703528883846825,0.27281944409965864
6,2.7103792488783633,0.2891278375149343,0.2549670896422173,0.29002081131449403
7,2.583349383698044,0.3013739545997611,0.26779474605754783,0.30108037993513853
8,2.481348028539081,0.3118279569892473,0.2806543802063132,0.31272113284469016
9,2.433657491221033,0.31362007168458783,0.2836467932022606,0.31291369724191365
10,2.412257438223448,0.31332138590203107,0.28311984965344117,0.3123654814651271
