epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,5.238091512407576,0.013252346769740474,0.010239347008897209,0.01401924569026416
2,4.703481052943639,0.027609055770292656,0.023692043828782716,0.0287710740998232
3,4.315835919516427,0.043898398674765325,0.0389854209306632,0.04664463824813381
4,4.012308591025216,0.06653782440640531,0.05869529935313847,0.07064852067555555
5,3.7632237780434745,0.0883489784649365,0.07741011932978492,0.09212360997963968
6,3.5964031941550116,0.10353395913859746,0.09228514579084737,0.10729978621495015
7,3.4598752686636787,0.11485367200441744,0.10340553274833028,0.118962843981358
8,3.379022612435477,0.11816675869685257,0.10694251843335936,0.12247355576372587
9,3.334119964054653,0.1217559359469906,0.1103194724204184,0.12635490058357912
10,3.3120139470781598,0.12258420762009939,0.11104614627215287,0.12688751608896476
