epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,2.034817673375614,0.3797250859106529,0.07401669227455905,0.07968749585643195
2,1.7232088630879345,0.3745704467353952,0.10376097341348738,0.11223958689885867
3,1.6559229472123447,0.41494845360824745,0.11253496516213317,0.12082582458525537
4,1.6057921037083005,0.436426116838488,0.10218524093697519,0.10942052900221384
5,1.569307465620214,0.4415807560137457,0.12889662310864655,0.14225858242256909
6,1.5426154150125386,0.4639175257731959,0.1201054380438398,0.1268248321715178
7,1.519191304244068,0.44072164948453607,0.13924994205963356,0.15033949003876174
8,1.4986764051374692,0.4725085910652921,0.12929708454383487,0.13316017377706232
9,1.4855844326845304,0.4725085910652921,0.14468255717625705,0.15382965326509757
10,1.4757042887765062,0.4699312714776632,0.14106142870057853,0.1493183771197697
