epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc
1,3.1240359596584155,0.08695652173913043,3.0364135496077997,0.06451612903225806,0.031241135709238345,0.03921568627450719
2,2.8854404014089834,0.1521739169307377,2.9309421200906076,0.03870967741935484,0.024373768646125404,0.023529411764704314
3,2.8016689031020454,0.10869565411754277,2.839498855221656,0.06451612903225806,0.042049127343081666,0.03921568627450719
4,2.695296100948168,0.08695652368276016,2.781863187974499,0.05806451612903226,0.03487159704642083,0.03529411764705647
5,2.692645145499188,0.06521739227616269,2.7418085482812695,0.07741935483870968,0.0374177808773668,0.04705882352940863
6,2.6395265226778775,0.08695652368276016,2.713172709557318,0.08387096774193549,0.04145123107040768,0.050980392156859344
7,2.654439418212227,0.13043478779170825,2.6948642346166793,0.09032258064516129,0.044530455591757105,0.05490196078431007
8,2.5006379355554995,0.1739130454218906,2.6863291755799326,0.09032258064516129,0.04459176090380378,0.05490196078431007
9,2.605194900346839,0.2391304367262384,2.683602063886581,0.09032258064516129,0.044093624975779185,0.05490196078431007
10,2.572712867156319,0.2391304367262384,2.680070823238742,0.09032258064516129,0.04442875913089587,0.05490196078431007
