epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,2.195517615526772,0.5996686913307565,0.5959348064371998,0.6071001134865439
2,0.8986544709077617,0.6830480397570403,0.6791754639808528,0.6884098294393786
3,0.6546189883297036,0.7205963556046383,0.7138288931252138,0.7269367028718714
4,0.5269844269135312,0.7230811706239647,0.7204441143734269,0.7314647482365675
5,0.4378483053707551,0.7363335173937051,0.7337488130317105,0.7450979554755219
6,0.37801468055177395,0.7379900607399227,0.7341003261061698,0.7430621524473281
7,0.33590261496724927,0.7396466040861402,0.7384062407712405,0.7484722358201872
8,0.30069147463270024,0.7374378796245168,0.7369923558272128,0.746413936826686
9,0.2833470932760723,0.7429596907785754,0.7424973035599698,0.7508335142649365
10,0.27255424525685185,0.7418553285477637,0.7413681851904759,0.7501667708761298
