epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc
1,2.2659499950564848,0.28882833803706986,2.0546335220336913,0.32903225806451614,0.17051142691409127,0.20686274509802455
2,1.9647392970014983,0.37602179868994356,1.881483114919355,0.36774193548387096,0.20149405820849334,0.22696078431370992
3,1.8839323767524325,0.40054495929047584,1.8531474913320234,0.3935483870967742,0.19927563714610919,0.24607843137253174
4,1.8389589198603618,0.3814713902954185,1.7899150140823856,0.36774193548387096,0.19134647487906983,0.23039215686272888
5,1.775595407719833,0.42098092655232555,1.7634267853152368,0.3935483870967742,0.2137718355185558,0.24607843137253174
6,1.7100543667250174,0.45776566822457376,1.7406069893990794,0.3935483870967742,0.2194062263889406,0.24950980392155067
7,1.6829175344929708,0.4455040878431024,1.6899131621083905,0.41935483870967744,0.24296223930836316,0.26519607843135357
8,1.6474921972940013,0.45912806555750585,1.6671343249659385,0.4258064516129032,0.2367332724924789,0.2691176470588043
9,1.6291055273295099,0.4673024529657182,1.6714730985703008,0.41935483870967744,0.2327729830668346,0.26176470588233464
10,1.6047467171983434,0.47956403367201056,1.6612882321880709,0.41935483870967744,0.2350655619553222,0.26176470588233464
