epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.34007917334979,0.09166206515737162,0.08241875568537951,0.09985484344653858
2,3.7709963770900434,0.20403092214246274,0.18813570047504227,0.22348046274257707
3,3.2920333313760595,0.2865819988956378,0.25747098375249755,0.2987134220588656
4,2.841643445878227,0.34649364991717285,0.31717222586825305,0.35391549697000396
5,2.5133283037829637,0.37990060739922693,0.3510783233177128,0.38742492504859793
6,2.27917844555823,0.4008834897846494,0.3794074190377143,0.41170547761030407
7,2.1116735476231003,0.42159028161236883,0.4014568941969893,0.4317216089531302
8,2.0319822800654705,0.4246272777471011,0.4060232897192409,0.43647080783914766
9,1.9628043430042657,0.42545554942020986,0.4074128684897411,0.43769100426851143
10,1.9360546554439315,0.42794036443953615,0.4105731151668247,0.4396973606861921
