epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.388717452175002,0.03136200716845878,0.023599989444140584,0.03571284340493369
2,4.174720360211759,0.05734767025089606,0.0437374857204431,0.06267993916057986
3,4.030796471665871,0.08751493428912784,0.06763156331707403,0.09370351789597543
4,3.903402924954961,0.11320191158900836,0.09349639724201952,0.12119303276818337
5,3.796162233330405,0.13799283154121864,0.11795661799705975,0.14377672292854848
6,3.723085846895376,0.15232974910394265,0.13300031973611234,0.15763194124939178
7,3.67031614365906,0.16517323775388293,0.14539404141014978,0.1692574747843944
8,3.626058606867751,0.17174432497013142,0.15124631218325826,0.17681274911500094
9,3.6065444534551028,0.17383512544802868,0.1532613528786755,0.17893554844614262
10,3.597697844444106,0.17443249701314217,0.1538225028001063,0.1797479588757961
