epoch,train_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,4.475683036259243,0.034787410270568746,0.023246620893821682,0.03293427648348693
2,4.063497771399362,0.06322473771397018,0.04593926352710107,0.06529438628679445
3,3.777341505595616,0.0966316951960243,0.08025422272421875,0.10371977196674592
4,3.548421316419329,0.1300386526780784,0.11540359555967568,0.1422890085971104
5,3.3582840287344795,0.15875207067918276,0.14268129092282297,0.17381849282210127
6,3.1996919681004115,0.18139149641082275,0.16352193954241406,0.19554404104414205
7,3.0898992870875768,0.19464384318056321,0.17494875913419397,0.20853381485172348
8,3.0261142537253245,0.20320265046935396,0.1832575696669984,0.21704768991921566
9,2.985492041179112,0.20403092214246274,0.18477130818644788,0.217619752380765
10,2.9532990948813302,0.20513528437327444,0.1855744980927858,0.21854343711010402
